DateTime,AddedIPs,RemovedIPs
1576560543,1024,1024
1576646942,768,768
1576733343,1024,1024
1576819742,1280,1280
1577078940,2304,2304
1577338140,1024,1024
1577424539,768,768
1577683738,1280,1280
1577770138,1024,1024
1577942937,2560,2560
1578029337,2560,2560
1578288536,1280,1280
1578374936,2048,2048
1578461335,1792,1792
1578547735,1280,1280
1578634134,1280,1280
1578893333,1024,1024
1578979733,1280,1280
1579066133,1536,1536
1579152534,1280,1280
1579238934,1536,1536
1579498133,1536,1536
1579584532,1024,1024
1579670932,768,768
1579757332,1024,1024
1579843731,1024,1024
1580102930,1280,1280
1580189331,1536,1536
1580275730,1536,1536
1580362130,1024,1024
1580448529,1024,1024
1580707729,1024,1024
1580794129,768,768
1580966928,1280,1280
1581312526,1536,1536
1581398926,1024,1024
1581485325,1280,1280
1581571725,1536,1536
1581658125,1536,1536
1581917324,1280,1280
1582003723,1024,1024
1582090123,768,768
1582176601,1280,1280
1582263002,1536,1536
1582522201,1536,1536
1582608601,768,768
1582695001,768,768
1582781401,768,768
1582867801,1280,1280
1583127002,1536,1536
1583213401,512,512
1583299801,1024,1024
1583386201,1536,1536
1583472601,1536,1536
1583728201,1536,1536
1583814601,2048,2048
1583901001,1792,1792
1583987402,1024,1024
1584073802,2048,2048
1584333002,2048,2048
1584419401,1792,1792
1584505801,2304,2304
1584592201,1792,1792
1584678602,512,512
1584937801,1024,1024
1585024202,1280,1280
1585110602,768,768
1585197001,1280,1280
1585283402,768,768
1585542601,2560,2560
1585629001,1536,1536
1585715401,1280,1280
1585801801,2304,2304
1585888201,2560,2560
1586147401,1280,1280
1586233801,1792,1792
1586320201,2304,2304
1586406601,1536,1536
1586493001,2048,2048
1586752201,1536,1536
1586838602,2048,2048
1586925001,1792,1792
1587011402,1280,1280
1587097801,1792,1792
1587357001,2048,2048
1587443401,1536,1536
1587529801,1024,1024
1587616201,1024,1024
1587702601,1280,1280
1587961801,2304,2304
1588048201,1280,1280
1588134601,1536,1536
1588221001,1280,1280
1588307401,1024,1024
1588566602,2048,2048
1588653001,2048,2048
1588739401,1536,1536
1588825801,1280,1280
1588912201,1536,1536
1589171401,1792,1792
1589257802,1536,1536
1589344201,1280,1280
1589430601,1024,1024
1589517001,1536,1536
1589776201,1024,1024
1589862601,2048,2048
1589949001,1792,1792
1590035401,1536,1536
1590121801,1792,1792
1590467401,1792,1792
1590553801,1536,1536
1590640202,1536,1536
1590726601,1792,1792
1590985801,1024,1024
1591072201,1792,1792
1591158602,1536,1536
1591245001,1792,1792
1591331401,2560,2560
1591590601,2048,2048
1591677001,1792,1792
1591763402,1536,1536
1591849801,768,768
1591936201,256,256
1592195401,2304,2304
1592281801,1024,1024
1592368201,2560,2560
1592454601,1792,1792
1592541001,1536,1536
1592886601,2560,2560
1592973001,2816,2816
1593059402,2048,2048
1593145801,3072,3072
1593491401,3328,3328
1593577801,2048,2048
1593664201,1792,1792
1593750601,1792,1792
1593923402,1536,1536
1594009802,1280,1280
1594096201,1792,1792
1594182601,2816,2816
1594335001,1792,1792
1594355401,2816,2816
1594614602,1280,1280
1594701002,1280,1280
1594873801,1792,1792
1595024277,2304,2304
1595219402,2304,2304
1595305802,1792,1792
1595392202,1536,1536
1595478601,2304,2304
1595565001,1536,1536
1595824201,1536,1536
1595910601,1536,1536
1595997001,1536,1536
1596083401,1024,1024
1596169801,2304,2304
1596429001,2816,2816
1596515401,256,256
1596601801,2304,2304
1596688201,2048,2048
1596774601,2560,2560
1597033801,1536,1536
1597120201,1536,1536
1597206601,512,512
1597293002,768,768
1597638601,1280,1280
1597725001,768,768
1597811401,1024,1024
1597897801,256,256
1597984202,256,256
1598243401,768,768
1598329802,1024,1024
1598416201,1536,1536
1598502601,1280,1280
1598589002,768,768
1598848202,768,768
1598934602,1024,1024
1599021001,768,768
1599107401,1280,1280
1599193802,1536,1536
1599453001,1536,1536
1599539401,1536,1536
1599625801,1024,1024
1599712202,1792,1792
1599798601,1792,1792
1600057802,1536,1536
1600144202,1280,1280
1600230601,768,768
1600317001,1280,1280
1600403401,512,512
1600662602,1280,1280
1600749002,1024,1024
1600835401,1280,1280
1600921801,1280,1280
1601008201,1024,1024
1601267401,1024,1024
1601353801,512,512
1601440202,768,768
1601526601,1024,1024
1601613001,1792,1792
1601872201,2304,2304
1601958602,768,768
1602045001,512,512
1602131401,1792,1792
1602217802,1280,1280
1602477001,2304,2304
1602563401,1280,1280
1602649801,1024,1024
1602736201,1536,1536
1602822601,1792,1792
1603081801,1024,1024
1603168201,1024,1024
1603254601,1280,1280
1603341001,1024,1024
1603427401,1024,1024
1603686601,1280,1280
1603773001,1280,1280
1603859402,1024,1024
1603945801,1024,1024
1604032201,1024,1024
1604295002,1024,1024
1604381401,1280,1280
1604467801,1280,1280
1604554201,768,768
1604640601,768,768
1604899801,1280,1280
1604986202,768,768
1605072601,768,768
1605159001,512,512
1605504601,1280,1280
1605591001,768,768
1605677401,1280,1280
1605763802,1024,1024
1605850202,768,768
1606109401,1792,1792
1606195801,1280,1280
1606282201,1536,1536
1606368601,1792,1792
1606455001,768,768
1606714201,1536,1536
1606800602,1280,1280
1606887001,1536,1536
1606973401,1536,1536
1607059801,1024,1024
1607319001,2048,2048
1607474398,1280,1280
1607558697,1792,1792
1607642701,1536,1536
1607664602,1536,1536
1607973838,1024,1024
1608075960,1024,1024
1608161878,768,768
1608248642,768,768
1608333359,1536,1536
1608592678,1792,1792
1608679079,1280,1280
1608765064,1280,1280
1609197895,1536,1536
1609284179,1024,1024
1609371957,1280,1280
1609455298,768,768
1609738201,1536,1536
1609824601,768,768
1609977061,1536,1536
1609997402,768,768
1610147939,1792,1792
1610406899,2304,2304
1610429401,768,768
1610582579,1792,1792
1610602202,768,768
1610754839,1024,1024
1611013077,1280,1280
1611034201,512,512
1611189360,1280,1280
1611207001,1024,1024
1611293401,768,768
1611552601,1280,1280
1611639002,768,768
1611725401,768,768
1611811801,512,512
1611898201,768,768
1612157401,1024,1024
1612243802,768,768
1612330201,768,768
1612416602,256,256
1612503003,1536,1536
1612762201,1280,1280
1612848602,256,256
1612935001,512,512
1613021401,256,256
1613107801,256,256
1613367001,1280,1280
1613453401,768,768
1613539801,1536,1536
1613626201,512,512
1613712601,768,768
1613971801,1536,1536
1614058201,768,768
1614231001,1536,1536
1614317401,1280,1280
1614576601,1536,1536
1614663001,768,768
1614749401,1536,1536
1614835802,1024,1024
1615181401,1792,1792
1615267802,512,512
1615354202,1024,1024
1615440601,768,768
1615527001,1536,1536
1615782601,1280,1280
1615869002,256,256
1615955401,768,768
1616041801,512,512
1616128201,768,768
1616214601,1280,1280
1616387402,1280,1280
1616473801,768,768
1616560202,1280,1280
1616646601,768,768
1617251402,768,768
1617942602,1536,1536
1618201801,1280,1280
1618461002,2048,2048
1618547402,1280,1280
1618806601,1792,1792
1618893002,1024,1024
1618979402,1024,1024
1619065801,512,512
1619152202,1024,1024
1619411401,1792,1792
1619497801,1792,1792
1619584201,1536,1536
1619670601,1280,1280
1619757002,1024,1024
1620016202,1536,1536
1620102602,1024,1024
1620189001,768,768
1620275402,1024,1024
1620621001,1536,1536
1620707401,768,768
1620793801,1536,1536
1620880201,768,768
1620966601,512,512
1621225802,768,768
1621312201,768,768
1621398601,768,768
1621485001,512,512
1621571401,768,768
1621830601,256,256
1621917001,512,512
1622003402,512,512
1622089802,256,256
1622176201,512,512
1622521801,1536,1536
1622608201,1280,1280
1622694601,256,256
1622781001,768,768
1623040201,1280,1280
1623126601,512,512
1623213001,512,512
1623299401,512,512
1623385802,512,512
1623645001,768,768
1623817802,512,512
1623904202,768,768
1623990601,512,512
1624249801,1280,1280
1624336201,512,512
1624422601,768,768
1624509002,512,512
1624595402,256,256
1624854601,768,768
1624941001,512,512
1625027402,512,512
1625113801,256,256
1625200201,1024,1024
1625459402,1024,1024
1625545801,1280,1280
1625632202,512,512
1625718601,256,256
1625805001,256,256
1626064201,256,256
1626237002,768,768
