DateTime,AddedIPs,RemovedIPs
1577770140,17,10
1577942940,19,21
1578029339,10,14
1578288539,130,42
1578374938,23,11
1578461337,27,19
1578547737,25,12
1578634137,21,13
1578893337,65,27
1578979735,30,11
1579066136,30,13
1579152537,17,14
1579238937,15,10
1579498136,67,38
1579584536,23,17
1579670935,24,13
1579757335,13,7
1579843735,20,10
1580102933,45,57
1580189334,21,9
1580275734,16,16
1580362133,18,13
1580448533,14,8
1580707732,68,59
1580794132,40,34
1580880531,55,19
1580966931,37,18
1581053331,19,18
1581312530,57,80
1581398929,12,19
1581485329,22,24
1581571729,13,33
1581658129,22,26
1581917328,134,65
1582003727,34,24
1582090128,36,18
1582176605,35,30
1582263006,22,20
1582522205,68,48
1582608606,40,16
1582695005,33,16
1582781405,22,15
1582867805,26,11
1583127006,61,52
1583213405,52,13
1583299806,116,26
1583386207,54,37
1583472606,33,33
1583728207,87,62
1583814607,27,12
1583901006,44,0
1583987407,22,51
1584073806,7,29
1584333007,70,71
1584419406,16,35
1584505806,16,46
1584592205,24,56
1584678607,25,33
1584937806,54,87
1585024206,26,15
1585110606,32,47
1585197006,21,55
1585283406,27,26
1585542606,65,85
1585629005,17,21
1585715406,30,23
1585801805,27,0
1585888205,22,113
1586147405,109,74
1586233805,35,33
1586320205,32,29
1586406605,30,25
1586493007,47,41
1586752205,69,64
1586838606,33,24
1586925005,20,32
1587011406,17,18
1587097805,35,17
1587357006,97,80
1587443406,75,18
1587529806,23,17
1587616206,37,22
1587702606,29,40
1587961807,92,128
1588048206,16,29
1588134605,19,21
1588221005,27,21
1588307406,24,33
1588566607,63,90
1588653006,39,45
1588739406,48,45
1588825807,34,29
1588912205,34,38
1589171405,76,74
1589257806,25,24
1589344205,22,32
1589430605,26,26
1589517006,28,29
1589776206,74,100
1589862606,27,20
1589949005,20,58
1590035404,21,55
1590121805,17,18
1590467405,99,111
1590553805,24,30
1590640205,17,20
1590726604,14,14
1590985805,79,62
1591072205,15,23
1591158605,28,25
1591245005,29,40
1591331405,28,44
1591590606,58,73
1591677005,11,22
1591763405,25,27
1591849805,20,20
1591936204,18,22
1592195405,45,65
1592281805,15,23
1592368204,13,34
1592454605,17,21
1592541004,21,15
1592886606,54,91
1592973005,11,26
1593059406,23,25
1593145804,16,18
1593491404,94,107
1593577805,33,22
1593664205,31,22
1593750605,24,18
1593923405,43,74
1594009806,22,13
1594096204,23,17
1594182604,16,29
1594334970,13,23
1594355404,17,16
1594614605,57,47
1594701005,17,15
1594873807,499,32
1595024247,32,18
1595219408,119,56
1595305807,41,15
1595392207,27,14
1595478607,19,21
1595565007,20,18
1595824209,75,82
1595910607,32,29
1595997007,40,32
1596083407,29,27
1596169808,23,26
1596429007,74,77
1596515407,24,38
1596601807,31,20
1596688207,34,19
1596774608,33,20
1597033808,77,59
1597120208,24,24
1597206608,32,21
1597293009,34,25
1597638607,203,580
1597725006,38,19
1597811405,22,27
1597897806,25,24
1597984208,46,19
1598243406,74,61
1598329806,55,21
1598416206,35,15
1598502606,24,26
1598589007,39,30
1598848208,88,52
1598934606,19,23
1599021006,22,21
1599107406,30,29
1599193807,24,17
1599453006,92,85
1599539406,30,39
1599625806,26,23
1599712206,25,32
1599798606,45,26
1600057808,126,69
1600144207,31,30
1600230607,29,26
1600317007,25,21
1600403407,38,21
1600662608,111,79
1600749007,31,28
1600835408,31,27
1600921809,28,38
1601008208,56,45
1601267409,165,101
1601353808,21,32
1601440208,23,29
1601526607,31,17
1601613008,23,25
1601872207,69,121
1601958608,24,39
1602045008,26,50
1602131407,31,31
1602217808,30,28
1602477007,106,174
1602563407,32,46
1602649806,31,36
1602736208,88,53
1602822607,69,39
1603081807,137,119
1603168207,29,34
1603254607,19,43
1603341009,19,16
1603427406,22,31
1603686606,83,173
1603773006,32,40
1603859406,17,27
1603945806,26,27
1604032206,27,27
1604295007,127,71
1604381407,163,23
1604467808,246,0
1604554210,332,66
1604640611,385,27
1604899817,1522,115
1604986221,806,46
1605072623,492,39
1605159025,335,49
1605504628,1265,295
1605591051,248,39
1605677430,275,38
1605763840,236,56
1605850245,194,33
1606109435,665,109
1606195836,226,46
1606282235,225,64
1606368635,221,52
1606455039,190,47
1606714238,569,118
1606800643,216,50
1606887043,182,562
1607035886,170,739
1607059835,155,692
1607319030,415,1791
1607405550,198,537
1607558664,173,656
1607642666,132,820
1607664627,166,462
1607973805,375,911
1608075922,136,242
1608161845,186,233
1608248603,157,189
1608333328,124,195
1608592646,399,486
1608679046,148,181
1608765032,192,189
1609197864,983,672
1609284143,207,144
1609371927,226,196
1609455261,210,129
1609738227,742,465
1609824623,188,141
1609977025,482,177
1609997425,381,199
1610147904,204,199
1610343027,1433,449
1610495723,792,158
1610582546,883,146
1610602252,939,183
1610754802,925,165
1611099326,2522,652
1611189322,220,91
1611207061,367,174
1611293499,356,237
1611552658,769,422
1611639053,233,433
1611725450,199,245
1611811861,204,212
1611898260,181,223
1612157456,473,525
1612243852,232,221
1612330262,195,167
1612416666,229,173
1612503063,208,362
1612762248,556,1028
1612848647,165,881
1612935046,164,985
1613021445,172,1259
1613107865,142,847
1613367031,422,1694
1613453423,168,338
1613539844,140,285
1613626223,140,189
1613712638,144,291
1613971823,434,879
1614058241,156,223
1614231031,312,468
1614317429,150,206
1614576620,302,550
1614663022,96,170
1614749423,85,206
1614835826,97,209
1615181416,332,694
1615267832,108,135
1615354228,147,122
1615440627,127,140
1615527025,128,159
1615782617,378,408
1615869034,179,146
1615955433,167,119
1616041817,179,152
1616128216,195,142
1616214621,211,135
1616387419,306,282
1616536631,150,127
1616625230,153,126
1616710054,148,130
1616796090,145,121
1617328429,880,594
1618004846,1465,780
1618353654,560,614
1618437524,172,183
1618523953,156,246
1618609925,154,218
1618872034,371,684
1618956420,139,191
1619045121,110,213
1619129705,139,190
1619216817,127,186
1619474273,344,515
1619567266,134,145
1619739273,174,312
1619822950,103,186
1620082212,328,503
1620167775,116,151
1620253752,132,142
1620338953,145,158
1620682422,403,559
1620769829,126,126
1620856576,108,102
1620944412,114,130
1621979925,1010,1208
1622069052,126,117
1622154406,97,118
1622239587,112,66
1622585393,380,378
1622759466,226,227
1622843846,91,103
1623104844,242,324
1623190003,112,145
1623278601,147,97
1623448779,204,211
1623714442,330,284
1623796254,146,79
1623881039,144,111
1623966655,144,105
1624054431,126,137
1624313398,423,336
1624411303,146,127
1624490781,122,80
1624576243,127,108
1624660295,103,143
1624917495,384,371
1625003178,140,92
1625178065,231,269
1625262709,137,106
1625521565,372,290
1625695623,248,211
1625784300,162,118
1625869487,149,157
1626127585,355,331
1626213671,144,105
1626300511,157,146
