DateTime,AddedIPs,RemovedIPs
1598743688,45,45
1598832293,45,45
1598917209,40,40
1599002167,43,43
1599091215,45,45
1599175927,48,48
1599260889,49,49
1599349449,48,48
1599434409,48,48
1599522967,48,48
1599607928,47,47
1599696251,48,48
1599780972,50,50
1599865694,46,46
1599954487,45,45
1600039690,46,46
1600128250,46,46
1600213208,48,48
1600297933,46,46
1600386730,48,48
1600471929,46,46
1600556890,46,46
1600645686,50,50
1600730651,50,50
1600819448,46,46
1600903928,44,44
1600989127,45,45
1601077687,43,43
1601165045,37,37
1601309287,37,37
1601336165,37,37
1601420891,42,42
1601507765,42,42
1601596817,41,41
1601682255,40,40
1601766966,38,38
1601855285,44,44
1601940251,45,45
1602028816,41,41
1602113768,42,42
1602198491,40,40
1602287049,45,45
1602371529,46,46
1602460324,43,43
1602545048,39,39
1602633363,42,42
1602717848,41,41
1602806420,43,43
1602891130,39,39
1602975849,39,39
1603064169,39,39
1603148890,44,44
1603237687,47,47
1603322649,40,40
1603411211,44,44
1603496167,43,43
1603580900,45,45
1603669451,44,44
1603753928,45,45
1603842247,40,40
1603926731,43,43
1604015049,45,45
1604099525,47,47
1604187847,44,44
1604272325,46,46
1604360885,46,46
1604445366,43,43
1604533686,44,44
1604618166,42,42
1604706486,44,44
1604790967,45,45
1604879284,40,40
1604963765,45,45
1605050405,49,49
1605138966,47,47
1605223448,49,49
1605312018,48,48
1605396727,47,47
1605481446,47,47
1605570247,48,48
1605654966,49,49
1605743532,46,46
1605828247,46,46
1605916822,48,48
1606001286,49,49
1606089615,48,48
1606174084,46,46
1606262420,48,49
1606347130,49,48
1606435448,49,49
1606519931,47,48
1606608248,48,48
1606692967,48,47
1606777685,47,47
1606866245,49,49
1606950964,49,49
1607039526,49,49
1607124004,48,48
1607212326,45,45
1607297051,49,49
1607382248,48,48
1607470566,46,46
1607555529,46,46
1607644091,46,46
1607728567,49,49
1607817127,48,48
1607901610,47,47
1607990430,50,50
1608075368,50,50
1608160086,50,50
1608248411,49,49
1608333369,48,48
1608421927,41,41
1608506650,44,44
1608595217,43,43
1608679929,43,43
1608768250,41,41
1608852732,40,40
1608937450,43,43
1609025767,41,41
1609110249,43,43
1609199051,39,39
1609283766,42,42
1609372568,41,41
1609457532,47,47
1609545854,45,45
1609630566,3,3
1609715288,2,2
1609803608,3,3
1609888568,6,6
1609977129,4,4
1610062087,5,5
1610150423,3,3
1610235369,5,5
1610320088,3,3
1610408409,2,2
1610492889,1,1
1610581207,4,4
1610665928,3,3
1610754487,2,2
1610839208,2,2
1611012489,2,2
1611101050,4,4
1611185769,1,1
1611270491,1,1
1611358807,6,6
1611444252,1,1
1611532888,2,2
1611617773,1,1
1611702488,2,2
1611790806,4,4
1611877686,3,3
1611962652,4,4
1612048093,2,2
1612136408,4,4
1612221126,5,5
1612309686,1,1
1612394648,5,5
1612482968,4,4
1612568168,2,2
1612653128,3,3
1612741685,3,3
1612825928,3,3
1613000647,3,3
1613085125,1,1
1613173928,1,1
1613258647,1,1
1613346967,3,3
1613431448,49,49
1613516647,50,50
1613606168,50,50
1613691371,39,39
1613775847,39,39
1613864697,41,41
1613949367,39,39
1614038428,36,36
1614123612,37,37
1614208331,36,36
1614296887,39,39
1614381852,44,44
1614470428,41,41
1614554888,42,42
1614643448,46,46
1614728411,43,43
1614813130,38,38
1614901929,41,41
1614986413,45,45
1615075224,38,38
1615161626,37,37
1615247286,38,38
1615332006,49,49
1615421166,48,48
1615506005,45,45
1615592408,42,42
1615677127,40,40
1615765450,38,38
1615849926,37,37
1615938487,42,42
1616023209,41,41
1616111768,49,49
1616196486,48,48
1616285047,34,34
1616369768,41,41
1616454491,44,44
1616542809,42,42
1616628246,35,35
1616716817,38,38
1617360118,48,48
1618099688,36,36
1618186566,37,37
1618271052,42,42
1618528089,31,31
1618616887,39,39
1618704487,38,38
1618789688,38,38
1618874650,37,37
1618963688,32,32
1619049370,33,33
1619134327,38,38
1619219766,34,34
1619308817,35,35
1619393770,35,35
1619480887,38,38
1619566328,37,37
1619655130,38,38
1619740086,42,42
1619825046,36,36
1619913850,36,36
1619998327,36,36
1620083767,37,37
1620172818,38,38
1620258247,37,37
1620342726,32,32
1620431288,40,40
1620516725,39,39
1620601933,39,39
1620690731,31,31
1620776408,31,31
1620861847,39,39
1620950648,42,42
1621036326,36,36
1621121288,41,41
1621209682,40,40
1621294806,38,38
1621382166,37,37
1621467846,37,37
1621554011,35,35
1621640891,35,35
1621727532,38,38
1621812009,41,41
1621897931,44,44
1621985527,42,42
1622070488,41,41
1622160033,42,42
1622245688,40,40
1622331473,40,40
1622417531,40,40
1622503214,47,47
1622592018,45,45
1622679851,50,50
1622761695,48,48
1622848808,49,49
1622935687,46,46
1623022814,49,49
1623109686,50,50
1623195851,49,49
1623282250,50,50
1623369371,47,47
1623456493,46,46
1623542419,48,48
1623629293,47,47
1623715692,49,49
1623802088,49,49
1623887287,48,48
1623973932,48,48
1624060570,49,49
1624146249,49,49
1624231446,50,50
1624320249,50,50
1624405448,48,48
1624490890,49,49
1624579688,46,46
1624664648,50,50
1624750087,50,50
1624836250,48,48
1624921931,48,48
1625011448,48,48
1625096408,49,49
1625182330,47,47
1625267771,49,49
1625353690,49,49
1625442488,48,48
1625528170,48,48
1625613131,39,39
1625702891,42,42
1625788328,42,42
1625873529,46,46
1625958492,44,44
1626047053,47,47
1626132253,46,46
1626221532,49,49
1626306967,50,50
