DateTime,AddedIPs,RemovedIPs
1608994209,1382,1084
1609080610,1277,899
1609167009,1496,1430
1609253411,1609,1412
1609339808,1554,1153
1609426210,1560,1334
1609512610,1094,1443
1609599011,1334,1012
1609685410,1172,912
1609768211,1486,1300
1609854610,1964,1347
1609937411,1723,1235
1610020209,1487,1325
1610106610,1604,1406
1610193012,1739,1175
1610279410,1200,1262
1610365809,1305,1710
1610452212,1601,1745
1610535010,1464,1736
1610621412,1740,1642
1610707811,1738,1556
1610794210,1591,1466
1610877010,1262,1289
1610963409,1532,1643
1611049810,1875,1698
1611136208,1825,1774
1611222608,1778,1734
1611309011,1716,1492
1611395408,2370,1357
1611481811,1271,958
1611568210,1991,1468
1611651010,2113,1604
1611733811,1779,1593
1611820211,2069,1572
1611906609,2001,1528
1611993009,2133,1313
1612079409,1522,1382
1612165810,1543,1473
1612252211,1823,1410
1612338610,1630,1537
1612425010,1714,1451
1612507811,1981,1420
1612590610,1779,1202
1612673409,1601,1213
1612756212,1566,1574
1612839011,1729,1541
1612925408,1851,1932
1613011807,1686,2237
1613094608,1866,1394
1613177408,1728,1117
1613260208,1411,0
1613346609,1202,1133
1613433010,1798,1550
1613519408,1854,3122
1613605810,2019,1766
1613692210,1907,2153
1613778610,2018,1456
1613865010,1742,1169
1613951410,1411,982
1614037812,1782,1392
1614124211,1558,1490
1614210610,1828,1604
1614293413,1639,1495
1614376210,1567,3645
1614459009,1427,1295
1614545410,1325,1190
1614631811,2040,1527
1614718212,2413,1742
1614804609,2240,1567
1614887410,1962,1435
1614973809,2092,1351
1615056610,1464,1195
1615143011,1365,1329
1615225810,1746,1744
1615312211,2028,1519
1615395009,1923,1716
1615481410,1750,1611
1615564210,1782,1614
1615647010,1424,1303
1615729810,1153,1150
1615816210,1497,1366
1615902609,1804,1642
1615985409,1719,1796
1616068210,1715,1951
1616154610,1804,1669
1616237410,1670,1301
1616320210,1370,1294
1616406612,1520,1644
1616493010,1929,1572
1616579411,2169,1485
1616665809,2187,1598
1616752211,2074,1325
1617357010,12566,9962
1618159812,16742,13711
1618242609,1557,1666
1618584610,7129,6749
1618710612,2566,2943
1618797012,1417,1898
1618883410,1724,1751
1618969810,1928,1642
1619056211,1501,1665
1619142611,1793,2699
1619225411,1441,1331
1619311810,1201,1709
1619398211,1023,2367
1619484610,1594,1982
1619571011,1641,2102
1619657410,1585,2048
1619743811,1414,2276
1619830212,1518,1625
1619916609,1257,1487
1620003009,1240,1897
1620089412,1475,1793
1620172210,1534,0
1620255010,1641,1670
1620337810,1844,2139
1620420611,1721,1915
1620503410,1419,1524
1620586209,1282,1531
1620669010,1929,1909
1620755412,2164,1751
1620841808,2384,1723
1620924612,2200,1825
1621011010,2192,1655
1621097411,2235,1541
1621183810,2010,1334
1621270212,2211,1903
1621356611,2433,1963
1621443010,2383,2114
1621529410,2529,2251
1621615811,2497,1647
1621702211,2091,1559
1621788610,2584,1422
1621875010,2504,1756
1621961411,2480,1566
1622047809,2459,1994
1622130611,2187,1636
1622213411,2163,1564
1622299810,1978,1373
1622382611,1681,1340
1622469010,2071,1823
1622555412,2143,2142
1622641811,2218,1993
1622728211,2269,1911
1622814611,2260,1974
1622897411,1744,1485
1622983811,1855,1414
1623070212,2032,1988
1623156611,1995,1698
1623243012,2168,1804
1623329411,2106,1999
1623415811,2130,1968
1623498611,1716,1570
1623585010,1612,1246
1623671410,1803,1748
1623757812,2074,2240
1623840610,2070,1902
1623927012,1933,1858
1624009811,1778,2029
1624092611,1635,1464
1624179012,1560,1401
1624265411,1653,1920
1624351811,2126,1871
1624438212,2202,2109
1624521011,2061,1927
1624603811,1958,1819
1624686611,2018,1407
1624773013,1711,1559
1624855811,1663,2025
1624938613,2125,1772
1625025010,2081,1849
1625111410,2193,1795
1625194211,1872,1816
1625280611,2019,1749
1625367012,1609,1459
1625453410,1552,1837
1625539810,2308,2042
1625626212,2098,1978
1625709013,2230,2178
1625791811,2009,2104
1625878211,1893,1834
1625964610,1500,1129
1626051010,1706,1903
1626137412,2092,1901
1626220211,1927,0
1626306612,2163,1822
